Gene1	Gene2	Status	Description
G175	G3184	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G254	G2929	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G144	G1216	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G92	G4447	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G36	G1743	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G192	G351	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G268	G1404	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G55	G3386	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G86	G1491	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G305	G1886	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G309	G2840	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G333	G3568	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G199	G2505	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G199	G2054	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G192	G3785	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G92	G151	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G274	G1775	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G277	G4422	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G23	G1658	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G277	G3460	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G268	G4111	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G313	G1539	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G66	G561	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G192	G3629	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G99	G3938	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G268	G3879	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G254	G3162	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G84	G2685	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G303	G3792	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G313	G2707	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G330	G2502	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G110	G1457	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G55	G2995	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G55	G434	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G333	G1973	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G92	G2041	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G333	G4157	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G125	G2330	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G313	G4296	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G285	G1795	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G92	G488	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G110	G2808	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G313	G2469	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G55	G3254	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G244	G673	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G305	G1543	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G183	G3457	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G309	G796	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G55	G3419	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G199	G3414	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G86	G1090	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G118	G2318	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G69	G1323	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G333	G2886	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G55	G4173	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G223	G1917	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G144	G2334	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G268	G4220	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G51	G2542	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G128	G970	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G99	G2968	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G247	G4004	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G55	G2660	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G251	G621	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G326	G1250	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G333	G1653	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G55	G1551	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G284	G332	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G305	G823	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G172	G3617	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G23	G785	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G140	G4041	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G92	G3321	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G66	G3366	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G55	G95	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G92	G2610	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G274	G3688	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G313	G3036	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G169	G1221	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G55	G316	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G333	G2474	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G55	G1058	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G283	G2244	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G192	G2758	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G244	G342	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G10	G110	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G282	G443	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G22	G454	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G23	G2527	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G333	G2940	True Positive	Interação predita pelo SCENIC+ que está no gold standard
